timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,id
1747533792660,-0.37121108,0.14985114,0.9698835,-0.9667275,0.04261058,0.7781757,1
1747533792670,3.3789728,-0.70142055,2.0686293,5.434447,-2.010154,-8.377239,2
1747533792680,2.9445508,-0.8434618,1.2754432,5.729525,-1.9803267,-8.49655,3
1747533792690,2.60128415,-0.90825905,0.733269985,5.0184608,-1.5345135,-8.57964,4
1747533792700,2.4952412,-0.9237567,0.6033095,4.2887545,-1.2245215,-8.537029,5
1747533792710,2.4062823,-0.94096275,0.535461585,3.89114465,-1.06526445,-8.4970815,6
1747533792720,2.118905,-0.9808661,0.47884035,2.7760792,-0.6540724,-8.305867,7
1747533792730,1.8644753,-1.0304097,0.7022747300000001,1.7827201,-0.40533313,-7.738081,8
1747533792740,1.8653295,-1.0391958,0.763167,1.5211977,-0.43196473,-7.4419374,9
1747533792750,1.9278082,-1.048714,0.9171671,1.4375744,-0.53795856,-7.2347436,10
1747533792760,1.9426957,-1.0592085,1.0479817,1.5158713,-0.64182186,-7.10052,11
1747533792770,1.92085265,-1.14401835,1.13694075,1.8740665,-0.69002505,-6.894125000000001,12
1747533792780,1.9541664,-1.1905112,1.12412775,2.2285332,-0.605336535,-6.7923925,13
1747533792790,2.01969575,-1.2105239,1.05408325,2.463424,-0.52464277,-6.74632,14
1747533792800,2.0574026,-1.2207743,1.01479,2.6136262,-0.4708469,-6.7868,15
1747533792810,2.03897635,-1.24725455,0.8916632,2.650378,-0.36112465,-6.8019797,16
1747533792820,2.1544154,-1.28203275,0.8020941500000001,2.56142835,-0.1837581165,-6.78946305,17
1747533792830,2.2799828,-1.3093672,0.7470592,2.4884577,-0.050600063,-6.7899957,18
1747533792840,2.3767515,-1.34951445,0.7995315000000001,2.5467811,0.157126507,-6.8704231,19
1747533792850,2.3583252,-1.3547617,0.8263778,2.6173549,0.2263687,-6.8970547,20
1747533792860,2.1642997,-1.3296238,0.835652,2.8085697,0.3568636,-6.872554,21
1747533792870,1.8626448,-1.3449996,0.77122086,3.200587,0.56938386,-6.6877303,22
1747533792880,1.6907066,-1.3310881499999998,0.66871685,3.39419885,0.64661553,-6.49571635,23
1747533792890,1.5636748,-1.3182752,0.5664568649999999,3.438141,0.65513766,-6.4230123,24
1747533792900,1.4916779,-1.3103434,0.50837123,3.4099116,0.6317018,-6.2424498,25
1747533792910,1.377215,-1.2703179,0.43515408,3.281547,0.57577544,-6.0618873,26
1747533792920,1.27886,-1.244692,0.3807293,3.0871365,0.5070659,-5.884521,27
1747533792930,0.9623177,-1.4091865,0.5022698,2.8554413,-0.04527374,-5.503156,28
1747533792940,0.8283303,-1.5922295,0.5618198,3.025351,-0.3174488,-5.428055,29
1747533792950,0.5544981,-1.8318938,0.49201941,3.333745,-0.21624869,-5.396097,30
1747533792960,0.025137896,-2.042271,0.2779812,3.6405413,0.26045716,-5.158543,31
1747533792970,-0.9474302,-2.42422065,-0.444916344,3.08181015,0.841825245,-4.1574609,32
1747533792980,-1.3491484,-2.6485093,-0.83125895,2.49698,0.98377174,-3.6772928,33
