id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1747638637200,0.09482261,0.84431756,0.44502598,0.1577513,-1.5689611,-0.74225575
1,1747638637210,0.09018819,0.774404945,0.275534375,-0.22605167,-1.3020209,-0.784098805
2,1747638637220,0.08555377,0.70449233,0.10604277,-0.60985464,-1.0350807,-0.82594186
3,1747638637230,-0.03378246,0.5936932,0.0594242,-1.7286215,-0.89489125,-0.8076164299999999
4,1747638637240,-0.05538433,0.59881545,0.100066815,-1.86865825,-0.9546015750000001,-0.7798228949999999
5,1747638637250,-0.0769862,0.6039377,0.14070943,-2.008695,-1.0143119,-0.75202936
6,1747638637260,0.007698619999999989,0.66897195,0.30250241499999997,-2.28098,-1.2803358500000002,-0.49238107999999997
7,1747638637270,0.09238344,0.7340062,0.4642954,-2.553265,-1.5463598,-0.2327328
8,1747638637280,0.36084422,0.4413977,0.6226888,-2.0199192,-1.0564604,0.34879377
9,1747638637290,0.33326639,0.31023151,0.54471168,-1.8822112999999998,-0.7995991,0.284043965
10,1747638637300,0.30568856,0.17906532,0.46673456,-1.7445034,-0.5427378,0.21929416
11,1747638637310,0.07335794,0.10973201,0.3312998,-1.6323366,0.5305972,-0.3482593
12,1747638637320,-0.06806799000000001,0.225668655,0.35717022,-1.61550015,0.50371992,-0.20955879249999998
13,1747638637330,-0.20949392,0.3416053,0.38304064,-1.5986637,0.47684264,-0.070858285
14,1747638637340,-0.14189851,0.3401418,0.34105647,-1.558195,0.30275118,0.2131857
15,1747638637350,-0.085279359,0.30596298,0.384016285,-1.53421925,0.15274999625,0.343907015
16,1747638637360,-0.028660208,0.27178416,0.4269761,-1.5102435,0.0027488125,0.47462833
17,1747638637370,0.036496032,0.035550855,0.7637641,-1.5830871,0.3290176,0.40804598
18,1747638637380,0.063951901,0.10950333749999999,0.7171455,-1.49214715,-0.063489935,0.34451785999999995
19,1747638637390,0.09140777,0.18345582,0.6705269,-1.4012072,-0.45599747,0.28098974
20,1747638637400,0.12471764,0.30584100999999997,0.7809602200000001,-1.09620355,-1.2937744850000001,0.109647084
21,1747638637410,0.15802751,0.4282262,0.89139354,-0.7911999,-2.1315515,-0.061695572
22,1747638637420,0.44648945,0.41822565,0.838677,-0.2902288,-3.6624112,-0.69583136
23,1747638637430,0.48615640000000004,0.452755095,0.83904288,-0.270605335,-3.7048651,-0.93528353
24,1747638637440,0.52582335,0.48728454,0.83940876,-0.25098187,-3.747319,-1.1747357
25,1747638637450,0.42429304,0.66665477,0.9363047,-0.5587725,-3.3178933,-1.7037294
26,1747638637460,0.400252,0.717907735,0.99487515,-0.6933498,-3.2558923,-1.76786835
27,1747638637470,0.37621096,0.7691607,1.0534456,-0.8279271,-3.1938913,-1.8320073
28,1747638637480,0.37401572,0.9097177,1.3826417,-1.5962203,-2.9935334,-1.8539978
29,1747638637490,0.44014762500000004,1.0213172,1.9574389,-1.9725403999999997,-2.7412152,-1.7205276999999999
30,1747638637500,0.50627953,1.1329167,2.5322361,-2.3488605,-2.488897,-1.5870576
31,1747638637510,0.80279076,1.282148,3.409223,-1.3775369,-2.1126153,-1.3408861
