timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,id
1747533366940,-0.152413745,0.520208035,0.82088652,-0.14168017,-0.6673881500000001,-0.5102617015,1
1747533366950,-0.4888467,0.0061014313,-1.3027775,-0.99762017,-1.7038904,0.7094661,2
1747533366960,-0.49446,0.045882765,-1.155611,-1.117995,-1.979794,0.69668293,3
1747533366970,-0.53033644,0.07443746,-1.0540832,-1.2410331,-2.2327943,0.71532506,4
1747533366980,-0.5632841,0.09445015,-0.954996,-1.3827133,-2.4511735,0.763262,5
1747533366990,-0.5696296,0.0993313,-0.8505395,-1.5313177,-2.6003106,0.8404937,6
1747533367000,-0.58158845,0.11617125,-0.5933032,-1.8056233,-2.6658244,1.0663297,7
1747533367010,-0.5850052,0.1295944,-0.48396555,-1.8897791,-2.637062,1.2032162,8
1747533367020,-0.58512725,0.1391126349999999,-0.3470494,-1.9510319,-2.5286715,1.43198175,9
1747533367030,-0.5720702,0.14350566,-0.30604777,-1.959554,-2.4889903,1.5089471,10
1747533367040,-0.49055508,0.16864355,-0.2306341,-1.9425098,-2.424542,1.6266588,11
1747533367050,-0.3431445,0.27773714,-0.14374973,-1.8945729,-2.453304,1.68152,12
1747533367060,-0.26553428,0.3082443,-0.10933765,-1.8615496,-2.530003,1.6096146,13
1747533367070,-0.24161668,0.33460248,-0.08371163,-1.7976338,-2.620018,1.4716629,14
1747533367080,-0.2801777,0.37194324,-0.06858008,-1.7853832,-2.7148266,1.4136059,15
1747533367090,-0.35071027,0.3699908,-0.071020655,-2.0176108,-2.858637,1.4413028,16
1747533367100,-0.38878322,0.3824377,-0.020744866,-2.202967,-2.845854,1.5387745,17
1747533367110,-0.3824377,0.4139211,0.030019043,-2.4474452,-2.7814054,1.6847157,18
1747533367120,-0.3275248,0.42685616,0.14643435,-2.7180223,-2.6642263,1.8221349,19
1747533367130,-0.24503349,0.42929673,0.28871974,-2.9177594,-2.4735441,1.9169434,20
1747533367140,0.11592719,0.47639978,0.53985465,-2.9236183,-1.947836,1.7417074,21
1747533367150,0.16571487,0.5361938,0.59037447,-2.6972497,-1.8136127,1.3369069,22
1747533367160,0.08859278,0.5749989,0.5449798,-2.530003,-1.9121497,1.0098706,23
1747533367170,-0.050763905,0.60062486,0.40635532,-2.5246768,-2.179531,0.8229168,24
1747533367180,-0.1059208425,0.58549333,0.37194325,-2.61309375,-2.37980075,0.7904262200000001,25
1747533367190,-0.25089085,0.5227706,0.63406074,-2.9150963,-3.0152311,0.92944324,26
1747533367200,-0.18279888,0.50544256,0.7641432,-2.9491847,-3.018427,1.107875,27
1747533367210,-0.12056428,0.46273252,0.90374404,-2.938532,-2.95531,1.1768508999999998,28
1747533367220,-0.1049446149999999,0.4538244449999999,0.95975517,-2.7915256,-2.5891252,1.3289174,29
1747533367230,-0.071386745,0.440523345,1.0225999,-2.5449169,-2.1230721,1.4072144,30
