timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,id
1747533062210,0.382803775,-0.426490035,0.758896,0.840493625,-0.123837,-0.37257622725,1
1747533062220,0.971103775,0.081515122,0.343754635,-0.08708537,1.092961325,0.656735535,2
1747533062230,0.8984967450000001,0.0967687,0.357665895,-0.10652645,1.3334448,0.52304485,3
1747533062240,0.86859972,0.09542638,0.352052585,-0.180828645,1.4112091,0.392549965,4
1747533062250,0.83333347,0.090911325,0.34216826,-0.239418185,1.25195205,0.354733065,5
1747533062260,0.79355212,0.098843185,0.33277205,-0.29507825,0.98137488,0.3845604649999999,6
1747533062270,0.79770108,0.1016498399999999,0.29262464,-0.456199525,0.4532700249999999,0.511060615,7
1747533062280,0.8291845,0.09237567,0.26882904,-0.6367618500000001,-0.00399474,0.63889235,8
1747533062290,0.834309695,0.072362975,0.31361354,-0.6801713650000001,-0.10839066,0.71133035,9
1747533062300,0.8368722500000001,0.046248848,0.35022214,-0.637028165,-0.0665790295,0.76432725,10
1747533062310,0.851759795,0.01989066615,0.33203988,-0.5749765,0.0998685405,0.753408275,11
1747533062320,0.8376044949999999,-0.0390491568499999,0.28298438,-0.5536711999999999,0.5102616950000001,0.582167015,12
1747533062330,0.794528375,-0.10177187,0.2666325499999999,-0.5584648999999999,0.9092032,0.3664509649999999,13
1747533062340,0.7608485,-0.13179092,0.278225265,-0.55713333,1.07618335,0.23249397,14
1747533062350,0.73607668,-0.149607095,0.2778591649999999,-0.55899753,1.1355718499999998,0.137152805,15
1747533062360,0.6956851799999999,-0.176697445,0.267242665,-0.5741775499999999,0.9190569,0.1411475449999999,16
1747533062370,0.6690829,-0.2065944699999999,0.24576563,-0.5928197,0.555269115,0.218645535,17
1747533062380,0.6844585000000001,-0.220871815,0.248694335,-0.56379123,0.27537086,0.28975193,18
1747533062390,0.71691815,-0.22660715,0.28615713,-0.4450142299999999,0.0910801099999999,0.32490565,19
1747533062400,0.78732868,-0.2191634,0.3173964449999999,-0.1866876045,0.1717739,0.237820285,20
1747533062410,0.8474887799999999,-0.220261655,0.346927375,0.034621093,0.4665858349999999,0.087351685,21
1747533062420,0.8501734000000001,-0.236369445,0.39232202,0.1142496074999999,0.7877630499999999,-0.0231695024999999,22
1747533062430,0.830404785,-0.24539957,0.41941236,0.15259913,1.07884655,-0.1043959174999999,23
1747533062440,0.790989535,-0.25906677,0.40940603,0.1174454075,1.24529415,-0.138750695,24
1747533062450,0.7474253,-0.2822521999999999,0.3754820749999999,-0.0865527375,1.130511915,-0.157126505,25
1747533062460,0.72619232,-0.3105628499999999,0.355103285,-0.310258265,0.830639965,-0.18615496,26
1747533062470,0.71777232,-0.34729347,0.3847562399999999,-0.35100463,0.491619565,-0.191481285,27
1747533062480,0.7138674,-0.36681804,0.41343296,-0.33182988,0.29614353,-0.18109496,28
1747533062490,0.818690025,-0.409650075,0.48372144,-0.017310545,-0.0577905975,-0.152066505,29
1747533062500,0.8644508,-0.4148973,0.5186216,0.12250541,-0.13102753,-0.14487597,30
1747533062510,0.8261338,-0.4617563,0.6108753,0.6689861,-0.2130529,0.044208474,31
1747533062520,0.89044285,-0.4512618699999999,0.4127008,0.47883637,-0.25406557,0.02876214165,32
1747533062530,0.90362194,-0.46395284,0.376214235,0.23675503,-0.230363445,-0.06338323835,33
1747533062540,0.8829991,-0.6033095,0.45711923,0.08868327,0.0066579,-0.28336034,34
1747533062550,0.8829991,-0.6033095,0.45711923,0.05912218,0.21731395,-0.4415521,35
1747533062560,0.868233615,-0.7104506500000001,0.44638072,0.21252026,0.50653327,-0.61891866,36
1747533062570,0.80197209,-0.792941975,0.442597835,0.56379122,0.74621776,-0.67724186,37
1747533062580,0.7413238600000001,-0.89764255,0.39878955,0.7997472800000001,0.76166408,-0.644218655,38
1747533062590,0.697637635,-0.97964583,0.3292332249999999,1.046356,0.458862665,-0.5701828,39
1747533062600,0.682018,-1.01125123,0.263581825,1.180313,-0.0066578999999999,-0.508397475,40
1747533062610,0.6875093,-1.0247964,0.23429495,1.1808456,-0.19547603,-0.4990764,41
1747533062620,0.70288485,-1.0452971,0.23893206,1.1632688,-0.5075985,-0.4926848,42
1747533062630,0.759872265,-1.06018475,0.239664215,1.14382765,-0.70999877,-0.503071125,43
1747533062640,0.8600578,-1.0994779,0.3018988,1.1888351,-0.37710363,-0.58962387,44
1747533062650,0.857983275,-1.12205315,0.330941615,1.25488155,-0.220243435,-0.589091235,45
1747533062660,0.85590875,-1.1446284,0.35998443,1.320928,-0.06338324,-0.5885586,46
1747533062670,0.8526139500000001,-1.1825794,0.44088941,1.57739035,0.451139485,-0.498543775,47
1747533062680,0.81271062,-1.15683135,0.49299561,1.74730005,0.7456851,-0.29987195,48
1747533062690,0.76719397,-1.099722,0.5133743749999999,1.7939054,0.8796421,-0.075900095,49
1747533062700,0.75108617,-1.0344367,0.51862165,1.68231895,0.83436837,0.035686358,50
1747533062710,0.73314795,-0.9643922,0.558403025,1.49935975,0.67830715,0.0974716955,51
1747533062720,0.70630166,-0.89813065,0.59488955,1.2751216,0.4378236799999999,0.1243696275,52
1747533062730,0.71118283,-0.82088655,0.584273025,0.82984105,0.0061252649999999,0.12570121,53
1747533062740,0.733148,-0.7649974500000001,0.560111375,0.3190467099999999,-0.425306835,0.139549645,54
1747533062750,0.740591725,-0.76036035,0.5588911000000001,-0.01518001,-0.6149239,0.200802345,55
1747533062760,0.7559673250000001,-0.7737835,0.57621918,-0.27430559,-0.67031765,0.30360036,56
1747533062770,0.7765901749999999,-0.77964088,0.5940353549999999,-0.427437355,-0.459128975,0.491619535,57
1747533062780,0.789647225,-0.76438731,0.599892705,-0.42663841,-0.06977481,0.6612629000000001,58
1747533062790,0.7931860500000001,-0.71838253,0.6029434300000001,-0.321443555,0.2258360649999999,0.6972156,59
