id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1747638732840,0.33373898,0.060948674,0.75031817,0.23624517,-1.7913096,0.5552602
1,1747638732850,0.38052016333333333,0.035398404,0.74161848,0.15090472,-1.8462858666666666,0.60657135
2,1747638732860,0.4273013466666667,0.009848134000000001,0.73291879,0.06556427000000001,-1.9012621333333333,0.6578825
3,1747638732870,0.47408253,-0.015702136,0.7242191,-0.01977618,-1.9562384,0.70919365
4,1747638732880,0.627811,-0.09256637,0.74812293,-0.11018158,-1.4883293,0.5173876
5,1747638732890,0.5937694,-0.09610316499999999,0.757772865,-0.11609916,-1.10471725,0.40621341999999994
6,1747638732900,0.5597278,-0.09963996,0.7674228,-0.12201674,-0.7211052,0.29503924
7,1747638732910,0.54338535,-0.0963470825,0.7705937350000001,-0.121062292,-0.604433365,0.27304872999999996
8,1747638732920,0.5270429,-0.093054205,0.77376467,-0.120107844,-0.48776153,0.25105822
9,1747638732930,0.45941702,-0.013506886,0.7247069,-0.15003936,-0.5903839,0.24128467
10,1747638732940,0.4782748525,-0.018316617775000002,0.6376439,-0.25113458,-0.7273663925,0.29244313
11,1747638732950,0.497132685,-0.02312634955,0.5505809,-0.35222980000000004,-0.8643488850000001,0.34360159
12,1747638732960,0.5655818,-0.08646846,0.48213178,-0.7313369,-0.6374191,0.34329617
13,1747638732970,0.5509468,-0.12148574,0.5925650600000001,-0.82701085,-0.43736663,0.310004995
14,1747638732980,0.5363118,-0.15650302,0.70299834,-0.9226848,-0.23731416,0.27671382
15,1747638732990,0.40352964,-0.1194277,0.8257494,-0.8996253,-0.06261184,0.23700874
16,1747638733000,0.38950443,-0.12052532499999999,0.8258713799999999,-0.85037575,-0.17897824499999998,0.30267482
17,1747638733010,0.37547922,-0.12162295,0.82599336,-0.8011262,-0.29534465,0.3683409
18,1747638733020,0.4738386,-0.19482844,0.7601053,-0.68964654,-0.46760356,0.5815266
19,1747638733030,0.51958825,-0.18347107,0.79207363,-0.52483232,-0.45691373,0.510973735
20,1747638733040,0.5653379,-0.1721137,0.82404196,-0.3600181,-0.4462239,0.44042087
21,1747638733050,0.52361289,-0.14392608,0.80670866,-0.296146385,-0.60565505,0.40041037
22,1747638733060,0.48188788,-0.11573846,0.78937536,-0.23227467,-0.7650862,0.36039987
23,1747638733070,0.47725347,-0.15869829,0.5848512,-0.3537569,-1.2195566,0.51799846
24,1747638733080,0.534360455,-0.175665735,0.718959625,-0.58335912,-0.90894075,0.62000996
25,1747638733090,0.59146744,-0.19263318,0.85306805,-0.81296134,-0.5983249,0.72202146
26,1747638733100,0.59146744,-0.19263318,0.85306805,-0.81296134,-0.5983249,0.72202146
27,1747638733110,0.6463792049999999,-0.22008904499999998,1.018778925,-0.677773215,-0.36528666750000005,0.7004890925
28,1747638733120,0.70129097,-0.24754491,1.1844898,-0.54258509,-0.132248435,0.6789567249999999
29,1747638733130,0.7034862,-0.20751211,1.4075516,-0.06589515,-0.17684028,0.5210527
30,1747638733140,0.6938362,-0.183836945,1.40547835,0.085518615,-0.25625043,0.49997847500000003
31,1747638733150,0.6841862,-0.16016178,1.4034051,0.23693238,-0.33566058,0.47890425
32,1747638733160,0.7261704,-0.13528228,1.2640373,0.74286664,-0.33443886,0.47279578
33,1747638733170,0.76900827,-0.109899705,1.1938807,0.84720697,-0.15729316200000001,0.44622392499999997
34,1747638733180,0.81184614,-0.08451713,1.1237241,0.9515473,0.019852536,0.41965207
35,1747638733190,0.82013935,-0.07573613,1.1025034,0.934749,0.2917559,0.2987043
36,1747638733200,0.8398965899999999,-0.075126335,1.14300875,0.91199495,0.48753245,0.238841275
37,1747638733210,0.85965383,-0.07451654,1.1835141,0.8892409,0.683309,0.17897825
38,1747638733220,0.8717429649999999,-0.08451712750000001,1.24757275,0.9688610375,0.98873265,-0.014354909999999999
39,1747638733230,0.8838321,-0.094517715,1.3116314,1.048481175,1.2941563,-0.20768807
40,1747638733240,0.7986442,-0.12845263,1.3045579,1.3466128,1.4334295,-0.401403
41,1747638733250,0.790351,-0.132721165,1.2800289999999999,1.40456695,1.4367891,-0.44263519
