timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,id
1747533279900,-0.15277983,0.09274176,0.9020356,0.96299905,0.14966966,0.118776985,1
1747533279910,-0.50495446,-0.059549972,1.3730661,-0.6844324,2.5118935,1.1659319,2
1747533279920,-0.3321619,0.38512233,0.65797836,-1.8333201,-0.85594,0.058589544,3
1747533279930,-0.22282427,0.4233173,0.60440775,-2.39870915,-0.87298425,0.0085221165,4
1747533279940,-0.2020794,0.45760733,0.6118515,-2.6077673,-0.8538095,-0.03355583,5
1747533279950,-0.19280522,0.46541715,1.0233321,-2.93560255,-0.67191552,-0.2466087249999999,6
1747533279960,-0.22282428,0.38536638,1.2503053,-2.9273467,-0.56618804,-0.34461305,7
1747533279970,-0.26651052,0.34045988,1.4172405,-2.6264095,-0.49215218,-0.36964676,8
1747533279980,-0.2882316,0.3133695,1.5085179,-2.2194786,-0.5028048,-0.33449304,9
1747533279990,-0.29555333,0.29579738,1.5063213,-1.6863136,-0.55553544,-0.23382555,10
1747533280000,-0.17938207,0.29042813,1.2095478,-1.3741912,-0.51718587,-0.18961707,11
1747533280010,-0.111290105,0.28554696,1.0777569,-1.2367721,-0.21891184,-0.43089947,12
1747533280020,-0.09030118,0.28505886,0.9886759,-1.335309,-0.026631612,-0.63383234,13
1747533280030,-0.10323621,0.28261828,0.94303715,-1.4796523,0.11664646,-0.819721,14
1747533280040,-0.15107143,0.27334413,0.9440134,-1.6261262,0.17204021,-0.9683254,15
1747533280050,-0.36681804,0.25674823,0.9711038,-1.9350529,0.12144015,-1.0104034,16
1747533280060,-0.459315715,0.27895743,1.048836,-2.078331,0.029827405,-0.86233157,17
1747533280070,-0.46810177,0.27920148,1.0809295,-2.1965754,-0.14807177,-0.59228706,18
1747533280080,-0.43466598,0.27944556,1.142432,-2.2647521,-0.27803403,-0.40959418,19
1747533280090,-0.35607952,0.313857615,1.26604695,-2.2945797,-0.35260254,-0.29241508,20
1747533280100,-0.32117933,0.333138135,1.34658585,-2.12360465,-0.32011196,-0.204530775,21
1747533280110,-0.31361356,0.33435842,1.3672087,-2.0682108,-0.28549087,-0.20932446,22
1747533280120,-0.3533949,0.32606047,1.38112,-1.9201392,-0.1784318,-0.20240025,23
1747533280130,-0.37194324,0.33826336,1.3615954,-1.6966999500000002,0.029294775,-0.140082275,24
1747533280140,-0.30092257,0.4080637,1.3669646,-1.6080167,0.10652645,-0.10918961,25
1747533280150,-0.22843759,0.47176263,1.4477476,-1.4426344,0.145674915,-0.149403335,26
1747533280160,-0.16449459,0.50885934,1.5536685,-1.3646038,0.17150758,-0.18322548,27
1747533280170,-0.13057062,0.5098356,1.6715481,-1.1547467,0.2806972,-0.32384038,28
1747533280180,-0.12666571,0.5405868,1.7808857,-0.89375687,0.42024684,-0.4825648,29
1747533280190,-0.2911603,0.627837285,1.93268925,-0.24607609,0.48149952,-0.6609966,30
1747533280200,-0.33777523,0.63113207,1.9346417,0.05486112,0.40906155,-0.66632295,31
1747533280210,-0.44369608,0.6489482,1.9146291,0.29134983,0.31478566,-0.62371236,32
1747533280220,-0.52399087,0.70874226,1.892908,0.49694586,0.2412824,-0.53476274,33
1747533280230,-0.6418705499999999,0.69690545,1.9070633,1.031175975,0.16831178,-0.1850897015,34
1747533280240,-0.6731099,0.64736185,1.914263,1.45035755,0.160322295,0.0761664085,35
