timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,id
1747532579970,-0.231610337,0.318250655,1.24542415,-0.63090288,-0.13795174,-1.184307827,1
1747532579980,1.9361062,-0.051007964,0.10201593,-0.505468,0.78776306,9.523464,2
1747532579990,2.3817546,0.18060236,0.051007964,-0.15286545,1.055677,10.162622,3
1747532580000,2.856934,0.47103047,0.0043930304,0.1107875,1.2186625,10.731474,4
1747532580010,3.8338954,1.0243083,0.077122085,0.47244477,1.2144015,11.315239,5
1747532580020,4.0961347,1.0056379,0.0906672625,0.700944,1.1920309,10.993529,6
1747532580030,4.582663,0.8293065,0.20354374,1.0274476,1.107875,10.4401245,7
1747532580040,4.724216,0.7319277,0.28261828,1.4769892,1.0546118,9.876067,8
1747532580050,4.7979217,0.77122086,0.2975058,1.988316,1.0695255,9.369,9
1747532580060,4.241959,1.0623811,0.044418417,2.8117654,1.4530207,8.9327755,10
1747532580070,3.8851473,1.2010058,-0.22916976,2.7654266,1.856756,9.259811,11
1747532580080,3.8607419,1.4035733,-0.63625723,2.3121564,2.396845,9.596435,12
1747532580090,4.03329,1.6117541,-1.0289453,1.459945,2.8336034,9.618273,13
1747532580100,4.148973,1.7718556,-1.32157,0.33502567,3.03121,9.207613,14
1747532580110,4.2968717,2.0361695,-0.788793,-1.1771172,2.4783378,7.223026,15
1747532580120,4.0972333,2.2367847,-0.47884035,-1.2362394,1.8961707,5.7577543,16
1747532580130,3.337727,2.3419733,-0.22331238,-0.922519,0.9555422,4.1183124,17
1747532580140,2.447162,2.3436816,-0.13203497,-0.65726817,0.16884442,3.1808796,18
1747532580150,1.7869871,2.311222,-0.20329969,-0.5629923,-0.36005938,2.505502,19
1747532580160,0.9405966,2.2294629,-0.3585201,-1.1169298,-0.54648066,1.5291871,20
1747532580170,0.72167724,2.1921222,-0.29091623,-1.5547534,-0.20559604,1.0695255,21
1747532580180,0.609655,2.13184,-0.12568948,-1.8354506,0.3158509,0.6199839,22
1747532580190,0.609655,2.13184,-0.12568948,-1.8596854,0.5552691,0.40346891,23
1747532580200,0.43051702,1.9553868,0.22868164,-1.6341157,1.0498182,-0.23169503,24
1747532580210,0.33191785,1.888271,0.36559775,-0.22423817,0.7137272,-1.0183928,25
1747532580220,0.3121492,1.8819253,0.19280522,0.079628515,0.563258585,-1.16167085,26
1747532580230,0.3287451,1.8736275,-0.06662763,0.7520767,0.17630127,-1.5899072,27
1747532580240,0.357909935,1.88936915,-0.198784625,0.80454097,0.108656976,-1.7441042,28
1747532580250,0.50641876,1.9300048,-0.5793919,0.72437984,-0.0127831735,-2.2509038,29
1747532580260,0.6962953,1.965637,-0.77073276,0.42237735,0.027696876,-2.6312032,30
1747532580270,0.80587703,1.9712504,-0.7307074,-0.24980451,0.31691617,-3.3433325,31
1747532580280,0.8931274650000001,1.9536783,-0.6798215000000001,-0.349673055,0.340618315,-3.54573275,32
1747532580290,1.5802706,1.9014499,-0.33313814,-0.2609898,0.16085494,-4.498612,33
1747532580300,1.8260365,1.9090158,-0.25089085,-0.0127831735,0.017044231,-4.860269,34
1747532580310,2.1274471,1.8965688,-0.26358184,0.22264028,-0.11984225,-5.179848,35
1747532580320,2.4354472,1.900962,-0.30019042,0.42344263,-0.29294774,-5.4930363,36
1747532580330,2.6079957,1.9714943,-0.3743838,0.5107943,-0.53795856,-5.7779946,37
1747532580340,2.9911656,2.1215897,-0.42002252,0.2743056,-1.0823087,-6.314355,38
1747532580350,3.2115493,2.1899257,-0.33142975,0.01438107,-1.2543489,-6.567355,39
1747532580360,3.5507889,2.2016404,-0.1615659,-0.30679616,-1.274589,-6.930078,40
1747532580370,3.7721486,2.179187,0.012202863,-0.5091964,-1.1531488,-7.2422004,41
1747532580380,4.0220633,2.1037736,0.44882128,-0.6215818,-0.98590225,-7.5191693,42
1747532580390,4.08381,2.084493,0.6970275,-0.38296258,-0.62317973,-7.7743,43
1747532580400,4.1968083,2.0730224,0.9623177,0.0127831735,-0.48629323,-7.8211718,44
1747532580410,4.2856455,2.0308003,1.1312053,0.5486112,-0.3637878,-7.9047947,45
1747532580420,4.2309766,1.8985213,1.1702545,1.1073424,-0.26525086,-8.050203,46
1747532580430,3.9633678,1.66325015,1.03956185,1.4578144000000002,-0.0766990474999999,-8.135158,47
1747532580440,3.3096604,1.1507299,0.76121455,1.8860507,0.33822146,-8.111456,48
1747532580450,2.9711528,0.9364477,0.66188323,1.8716697,0.5230448,-7.9271655,49
1747532580460,2.6663256,0.71728426,0.5762192,1.8072212,0.65886605,-7.718374,50
1747532580470,2.4330065,0.5005614,0.54034275,1.7459685,0.69348717,-7.5505943,51
1747532580480,1.8955926,0.016107777,0.4876264,1.7422401,0.56245965,-7.334346,52
1747532580490,1.6344513,-0.21623473,0.46444094,1.7667412,0.49428272,-7.1633706,53
1747532580500,1.411627,-0.4510178,0.5098356,1.8434402,0.43303,-6.94872,54
1747532580510,1.29692015,-0.54705432,0.52447903,2.0857878,0.40373522,-6.58653,55
1747532580520,1.0113733,-0.9730562,0.48665017,2.3446472,0.32117724,-6.2227426,56
1747532580530,0.83736044,-1.0838583,0.37145513,2.6732812,0.094808534,-5.4323163,57
1747532580540,0.7700006,-1.1846539,0.2506468,2.6365294,0.13262543,-5.0621367,58
1747532580550,0.6965394,-1.3230344,0.117635585,2.4437168,0.30839407,-4.711132,59
1747532580560,0.6882414,-1.4680043,0.052472305,2.1582258,0.5049353,-4.4181843,60
1747532580570,0.6967834,-1.6254213,0.009518232,1.8455707,0.545948,-4.2077947,61
1747532580580,0.39805737,-1.8858303,-0.13276714,0.9624664,0.29241508,-3.6144423,62
1747532580590,0.316298185,-1.94843095,-0.171206155,0.6993461000000001,0.2159823599999999,-3.39233465,63
1747532580600,0.14716652,-2.0988922,-0.21623473,-0.0958738,0.006924219,-2.6652918,64
1747532580610,0.1181237,-2.1838243,-0.17718557,-0.55766594,-0.091080114,-2.1662152,65
1747532580620,0.06467517,-2.4137263,0.011714748,-1.0253171,-0.18801917,-1.2351742,66
1747532580630,-0.019280521,-2.485235,0.078830495,-1.0327739,-0.30253512,-0.7419567,67
1747532580640,-0.0848098905,-2.5036613,0.0943281325,-0.985902275,-0.39228365,-0.45753109,68
1747532580650,-0.30604777,-2.4998784,0.09396204,-0.819721,-0.69987875,0.5203817,69
1747532580660,-0.3708449849999999,-2.46851705,0.0572314244999999,-0.78563253,-0.810133605,1.0279802,70
1747532580670,-0.43076107,-2.2250698,-0.11665936,-0.79894835,-1.0769824,2.3750072,71
1747532580680,-0.2877435,-2.0862012,-0.15570852,-1.1142666,-1.257012,3.9329565,72
